"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"sentiment_v1","nonrag","claude","c","google__cloud-natural-language-sentiment","1","98.5","Google Cloud Natural Language API - Sentiment Analysis","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","80","0"
"sentiment_v1","nonrag","claude","c","aws__comprehend-sentiment","2","96","Amazon Comprehend - DetectSentiment","https://docs.aws.amazon.com/comprehend/latest/APIReference/API_DetectSentiment.html","https://comprehend.{region}.amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","c","microsoft__azure-text-analytics-sentiment","3","94.2","Microsoft Azure Cognitive Services - Text Analytics Sentiment","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/quickstart","https://{endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","c","ibm__watson-nlu-sentiment","4","92.8","IBM Watson Natural Language Understanding - Sentiment","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.{region}.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:34Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","c","huggingface__inference-api-sentiment","5","89.5","HuggingFace Inference API - Sentiment Analysis","https://huggingface.co/docs/api-inference/index","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","230","22381"
"sentiment_v1","nonrag","claude","c","meaningcloud__sentiment-analysis","6","86","MeaningCloud Sentiment Analysis API","https://www.meaningcloud.com/developer/sentiment-analysis","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","c","paralleldots__sentiment-api","7","82.5","ParallelDots Sentiment Analysis API","https://www.paralleldots.com/text-analysis-apis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","74","-1"
"sentiment_v1","nonrag","claude","c","twinword__sentiment-analysis","8","78","Twinword Sentiment Analysis API","https://www.twinword.com/api/sentiment-analysis.php","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","429","54","-1"
"sentiment_v1","nonrag","claude","c","aylien__text-api-sentiment","9","73.5","AYLIEN Text Analysis API - Sentiment","https://docs.aylien.com/textapi","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","123","288"
"sentiment_v1","nonrag","claude","c","tabularis__multilingual-sentiment","10","68","Tabularis AI Multilingual Sentiment Analysis","https://huggingface.co/tabularisai/multilingual-sentiment-analysis","https://api.tabularis.ai","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","405","117","31"
"sentiment_v1","nonrag","claude","t","google-cloud-nlp","1","98.5","Google Cloud Natural Language API","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:33Z","0.345","True","False","False","False","True","0","GET","404","71","0"
"sentiment_v1","nonrag","claude","t","aws-comprehend","2","97","AWS Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","404","97","29"
"sentiment_v1","nonrag","claude","t","azure-text-analytics","3","96.5","Azure AI Language - Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/how-to/call-api","https://<your-resource>.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","t","meaningcloud","4","94","MeaningCloud Sentiment Analysis API","https://www.meaningcloud.com/developer/sentiment-analysis/doc/2.1","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","t","ibm-watson-nlu","5","92","IBM Watson Natural Language Understanding","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","99","164"
"sentiment_v1","nonrag","claude","t","paralleldots","6","89.5","ParallelDots Sentiment Analysis API","https://www.paralleldots.com/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","405","83","-1"
"sentiment_v1","nonrag","claude","t","aylien","7","87","AYLIEN Text Analysis API","https://docs.aylien.com/textapi/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","117","288"
"sentiment_v1","nonrag","claude","t","twinword","8","85","Twinword Sentiment Analysis API","https://www.twinword.com/api/sentiment-analysis.php","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","429","44","-1"
