A_llm,A_var,B_llm,B_var,k,p,RBO,Spearman,KendallTau,AvgOverlap_k,Jaccard_k
claude,c,claude,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,claude,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,c,10,0.9,0.032069399425714275,-0.7549019607843139,-0.6000000000000001,0.06456349206349207,0.05263157894736842
claude,c,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,deepseek,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,gpt,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,c,mistral,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,claude,v,10,0.9,0.13560779885142857,-0.4881355932203389,-0.39199999999999996,0.2274603174603175,0.1111111111111111
claude,t,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,deepseek,v,10,0.9,0.22583279885142854,-0.31299435028248584,-0.296,0.3357936507936508,0.1111111111111111
claude,t,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gemini,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,t,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,gpt,v,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,t,mistral,t,10,0.9,0.13541639942571423,-0.5745098039215688,-0.4814814814814815,0.1928968253968254,0.05263157894736842
claude,t,mistral,v,10,0.9,0.12278175730714286,-0.3148148148148149,-0.20000000000000004,0.2517460317460317,0.3333333333333333
claude,v,deepseek,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
claude,v,deepseek,t,10,0.9,0.08564429885142857,-0.5762711864406779,-0.45599999999999996,0.15746031746031747,0.1111111111111111
claude,v,deepseek,v,10,0.9,0.2311872883071428,-0.30740740740740746,-0.24210526315789477,0.3856349206349206,0.3333333333333333
claude,v,gemini,c,10,0.9,0.0,-0.8583690987124465,-0.689655172413793,0.0,0.0
