"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"aifacegenerator_v1","nonrag","claude","c","stability_ai__stable_diffusion_face","1","96.5","Stability AI Image Generation API","https://platform.stability.ai/docs/api-reference#tag/Generate/paths/~1v2beta~1stable-image~1generate~1sd3/post","https://api.stability.ai","False","0.25","0.48","False","True","False","False","2025-10-28T21:45:00Z","0.291","True","False","False","False","False","0","GET","404","28","13"
"aifacegenerator_v1","nonrag","claude","c","replicate__face_generation_models","2","95","Replicate AI Face Generation API","https://replicate.com/docs/reference/http","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","59","93"
"aifacegenerator_v1","nonrag","claude","c","openai__dalle_portraits","3","93.5","OpenAI DALL-E Image Generation API","https://platform.openai.com/docs/api-reference/images/create","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:59Z","0.291","True","False","False","False","False","0","GET","405","133","163"
"aifacegenerator_v1","nonrag","claude","c","deepai__face_generator","4","91.5","DeepAI Text to Image API","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","27","65"
"aifacegenerator_v1","nonrag","claude","c","runwayml__gen2_portraits","5","89","Runway Gen-2 Image Generation API","https://docs.runwayml.com/api/generate","https://api.runwayml.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:45:00Z","0.345","True","False","False","False","True","0","GET","404","112","150"
"aifacegenerator_v1","nonrag","claude","c","getimg_ai__face_generation","6","87","getimg.ai Stable Diffusion API","https://docs.getimg.ai/docs/essential-v1/text-to-image","https://api.getimg.ai","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","88","218"
"aifacegenerator_v1","nonrag","claude","c","huggingface__inference_faces","7","85","Hugging Face Inference API","https://huggingface.co/docs/api-inference/detailed_parameters#text-to-image-task","https://api-inference.huggingface.co","False","0.25","0.64","False","True","False","False","2025-10-28T21:44:58Z","0.363","True","False","False","False","False","0","GET","401","120","22381"
"aifacegenerator_v1","nonrag","claude","c","leonardo_ai__image_generation","8","82.5","Leonardo.AI Image Generation API","https://docs.leonardo.ai/reference/creategeneration","https://cloud.leonardo.ai","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","137","91"
"aifacegenerator_v1","nonrag","claude","c","prodia__face_diffusion","9","80","Prodia Stable Diffusion API","https://docs.prodia.com/reference/generate","https://api.prodia.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:59Z","0.345","True","False","False","False","True","0","GET","404","93","0"
"aifacegenerator_v1","nonrag","claude","c","segmind__face_models","10","77.5","Segmind Stable Diffusion API","https://docs.segmind.com/","https://api.segmind.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:45:00Z","0.435","True","False","False","False","True","0","GET","401","276","62"
"aifacegenerator_v1","nonrag","claude","t","generated-photos","1","97.5","Generated Photos API","https://generated.photos/api","https://api.generated.photos","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","117","28"
"aifacegenerator_v1","nonrag","claude","t","deepai-stylegan","2","96","DeepAI Face Generator API","https://deepai.org/machine-learning-model/face-generator","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","31","65"
"aifacegenerator_v1","nonrag","claude","t","api4ai-faceswap","3","94.5","API4.AI Face Swap API","https://api4.ai/apis/face-swap","https://face-swap4.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:56Z","0.345","True","False","False","False","True","0","GET","429","28","-1"
"aifacegenerator_v1","nonrag","claude","t","rosebud-ai","4","92.5","Rosebud AI Face Generation","https://www.rosebud.ai/api-documentation","https://api.rosebud.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","claude","t","luxand-cloud","5","90","Luxand.cloud Face Manipulation API","https://luxand.cloud/documentation/","https://api.luxand.cloud","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:58Z","0.345","True","False","False","False","True","0","GET","405","100","64"
"aifacegenerator_v1","nonrag","claude","t","faceswapper-api","6","88","Face Swapper API (RapidAPI)","https://rapidapi.com/faceswapper/api/face-swapper","https://face-swapper1.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","429","33","-1"
"aifacegenerator_v1","nonrag","claude","t","neural-love","7","85.5","Neural.love Face Generation API","https://neural.love/api","https://api.neural.love","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:58Z","0.345","True","False","False","False","True","0","GET","405","121","124"
"aifacegenerator_v1","nonrag","claude","t","reface-api","8","83","Reface Face Swap API","https://reface.ai/api","https://api.reface.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"aifacegenerator_v1","nonrag","claude","t","pikazoai-face","9","80.5","Pikazo Face Art API","https://pikazo.ai/api-docs","https://api.pikazo.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:59Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","claude","t","deepar-avatar","10","78","DeepAR Avatar API","https://developer.deepar.ai/avatar-api","https://api.deepar.ai","False","0.25","0","False","True","False","False","2025-10-28T21:44:57Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"aifacegenerator_v1","nonrag","claude","v","stabilityai__stable_diffusion","1","98","Stability AI Image Generation API","https://platform.stability.ai/docs/api-reference#tag/Generate/paths/~1v2beta~1stable-image~1generate~1sd3/post","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","404","52","13"
"aifacegenerator_v1","nonrag","claude","v","openai__dalle","2","96.5","OpenAI DALLÂ·E Image Generation API","https://platform.openai.com/docs/api-reference/images/create","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:59Z","0.291","True","False","False","False","False","0","GET","405","113","163"
"aifacegenerator_v1","nonrag","claude","v","replicate__face_models","3","94","Replicate Face Generation & Manipulation APIs","https://replicate.com/docs/reference/http","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","42","93"
"aifacegenerator_v1","nonrag","claude","v","midjourney__api","4","92.5","Midjourney API (via third-party providers)","https://docs.midjourneyapi.io/api-reference","https://api.midjourneyapi.io","False","0.25","1","False","True","False","False","2025-10-28T21:44:58Z","0.525","True","False","False","False","True","0","GET","200","385","505"
"aifacegenerator_v1","nonrag","claude","v","deepai__face_generator","5","89","DeepAI Face Generator & Edit APIs","https://deepai.org/machine-learning-model/text2img","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","28","65"
"aifacegenerator_v1","nonrag","claude","v","getimg_ai__generation","6","86.5","Getimg.ai Image Generation & Editing","https://docs.getimg.ai/docs/essential-models/text-to-image","https://api.getimg.ai","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:57Z","0.291","True","False","False","False","False","0","GET","404","100","218"
"aifacegenerator_v1","nonrag","claude","v","leonardo_ai__generation","7","83","Leonardo.ai Image Generation API","https://docs.leonardo.ai/reference/creategeneration","https://cloud.leonardo.ai","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","137","91"
"aifacegenerator_v1","nonrag","claude","v","segmind__face_models","8","79.5","Segmind Face Generation API","https://docs.segmind.com/","https://api.segmind.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:45:00Z","0.435","True","False","False","False","True","0","GET","401","277","62"
"aifacegenerator_v1","nonrag","claude","v","runwayml__gen2","9","76","Runway ML Gen-2 Image API","https://docs.runwayml.com/reference/image-to-image","https://api.runwayml.com","False","0.25","0.6","False","True","False","False","2025-10-28T21:45:00Z","0.345","True","False","False","False","True","0","GET","404","106","156"
"aifacegenerator_v1","nonrag","claude","v","rosebud_ai__photorealistic","10","72.5","Generated Photos API","https://generated.photos/api","https://api.generated.photos","False","0.25","0.8","False","True","False","False","2025-10-28T21:45:00Z","0.435","True","False","False","False","True","0","GET","401","117","28"
"aifacegenerator_v1","nonrag","deepseek","c","openai__dall-e_image-generation","1","99.1","OpenAI DALL-E 3 Image Generation","https://platform.openai.com/docs/api-reference/images/create","https://api.openai.com","False","0.25","0.48","False","True","False","False","2025-10-28T21:44:59Z","0.291","True","False","False","False","False","0","GET","405","166","163"
"aifacegenerator_v1","nonrag","deepseek","c","stability_ai__stable-diffusion_image-generation","2","97.3","Stability AI Stable Diffusion Image Generation","https://platform.stability.ai/docs/api-reference","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","168","105"
"aifacegenerator_v1","nonrag","deepseek","c","midjourney__imagine_api","3","94.8","Midjourney Imagine API","https://midjourney.com/api/","https://api.midjourney.com","False","0.25","0","False","True","False","False","2025-10-28T21:44:58Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"aifacegenerator_v1","nonrag","deepseek","c","leonardo_ai__image-generation","4","91.5","Leonardo.Ai Image Generation","https://docs.leonardo.ai/","https://cloud.leonardo.ai","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:58Z","0.435","True","False","False","False","True","0","GET","401","154","91"
"aifacegenerator_v1","nonrag","deepseek","c","replicate__stable-diffusion_inference","5","88.2","Replicate Stable Diffusion Inference","https://replicate.com/docs/reference/http","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","52","93"
"aifacegenerator_v1","nonrag","deepseek","c","fal_ai__fast-image-generation","6","84.7","Fal.ai Fast Image Generation","https://fal.ai/docs","https://fal.run","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","70","109"
"aifacegenerator_v1","nonrag","deepseek","c","deep_ai__text2img","7","81.1","DeepAI Text to Image API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","29","65"
"aifacegenerator_v1","nonrag","deepseek","c","nightcafe__creator-api","8","77.4","NightCafe Creator API","https://creator.nightcafe.studio/api-docs","https://api.nightcafe.studio","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:58Z","0.345","True","False","False","False","True","0","GET","404","103","-1"
"aifacegenerator_v1","nonrag","deepseek","c","getimg_ai__text-to-image","9","73.6","GetImg.AI Text to Image","https://getimg.ai/docs","https://api.getimg.ai","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","81","217"
"aifacegenerator_v1","nonrag","deepseek","c","clipdrop__text-to-image","10","69.8","ClipDrop Text to Image by Stability AI","https://clipdrop.co/apis/docs/text-to-image","https://clipdrop-api.co","False","0.25","0.6","False","True","False","False","2025-10-28T21:44:57Z","0.345","True","False","False","False","True","0","GET","404","77","23"
"aifacegenerator_v1","nonrag","deepseek","t","replicate-face-generation","1","99.7","Replicate Face Generation Models","https://replicate.com/docs","https://api.replicate.com","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:59Z","0.435","True","False","False","False","True","0","GET","401","62","93"
"aifacegenerator_v1","nonrag","deepseek","t","stability-ai-face","2","98.4","Stability AI Generation API","https://platform.stability.ai/docs/api-reference","https://api.stability.ai","False","0.25","0.64","False","True","False","False","2025-10-28T21:45:00Z","0.363","True","False","False","False","False","0","GET","401","121","105"
"aifacegenerator_v1","nonrag","deepseek","t","deepai-face-generation","3","97.1","DeepAI Face Generation API","https://deepai.org/apis","https://api.deepai.org","False","0.25","0.8","False","True","False","False","2025-10-28T21:44:57Z","0.435","True","False","False","False","True","0","GET","401","25","65"
