"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","ifs","support_verified","fca","error_handling_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","constraints_verified","code_samples_verified","ssi","integration_support_verified","required_keys_verified","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes","vendor","task","canonical_id"
"health_v1","nonrag","claude","c","google_fit__fitness_data","1","82.5","Google Fit REST API","https://developers.google.com/fit/rest","https://www.googleapis.com/fitness","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","401","67","-1","google","unknown","google__unknown"
"health_v1","nonrag","claude","t","exercisedb-api","1","87","ExerciseDB API","https://rapidapi.com/justin-WFnsXH_t6/api/exercisedb","https://exercisedb.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:13Z","0.291","True","False","False","0","False","False","GET","429","28","-1","rapidapi","unknown","rapidapi__unknown"
"health_v1","nonrag","claude","v","google_fit__rest_api","1","81.5","Google Fit REST API","https://developers.google.com/fit/rest/v1/reference","https://www.googleapis.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","404","68","1598","google","unknown","google__unknown"
"health_v1","nonrag","deepseek","v","google_fit","1","78","Google Fitness REST API","https://developers.google.com/fit/rest-api","https://www.googleapis.com/fitness/v1","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","404","70","1598","google","unknown","google__unknown"
"health_v1","nonrag","gemini","c","google__fit_aggregate_v1","1","85","Google Fit REST API","https://developers.google.com/fit/rest/v1/reference/users/dataset/aggregate","https://www.googleapis.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:14Z","0.291","True","False","False","0","False","False","GET","404","69","1598","google","unknown","google__unknown"
"health_v1","nonrag","gemini","t","google_fit_rest","1","98","Google Fit REST API","https://developers.google.com/fit/rest/v1/reference/users/dataset/aggregate","https://www.googleapis.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:22:14Z","0.363","True","False","False","0","False","False","GET","401","69","-1","google","unknown","google__unknown"
"health_v1","nonrag","gemini","t","rapidapi_calorie_ninja","2","80","Calorie Ninja API (RapidAPI)","https://rapidapi.com/apininjas/api/calorieninjas","https://calorieninjas.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:15Z","0.291","True","False","False","0","False","False","GET","429","35","-1","rapidapi","unknown","rapidapi__unknown"
"health_v1","nonrag","gemini","v","google_fit__aggregate","1","90","Google Fit REST API Aggregate","https://developers.google.com/fit/rest/v1/reference/users/dataset/aggregate","https://www.googleapis.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:22:14Z","0.291","True","False","False","0","False","False","GET","404","82","1598","google","unknown","google__unknown"
"health_v1","nonrag","gpt","c","fitness-calculator__burnedcalorie","1","95.5","Fitness Calculator (RapidAPI) â€” Burned Calorie","https://rapidapi.com/edamam/api/fitness-calculator/","https://fitness-calculator.p.rapidapi.com","0.25","False","0.6","False","True","False","False","2025-10-28T22:22:13Z","0.345","True","False","False","0","False","True","GET","429","42","-1","rapidapi","unknown","rapidapi__unknown"
"health_v1","nonrag","gpt","v","googlefit__dataset","1","94.9","Google Fit REST â€” Datasets (Steps/Heart Rate)","https://developers.google.com/fit/rest","https://www.googleapis.com/fitness/v1","0.25","False","0.6","False","True","False","False","2025-10-28T22:22:14Z","0.345","True","False","False","0","False","True","GET","404","81","1598","google","unknown","google__unknown"
"health_v1","nonrag","mistral","c","google_fit__rest_api","1","98.5","Google Fit REST API","https://developers.google.com/fit/rest","https://www.googleapis.com/fitness/v1","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","404","62","1598","google","unknown","google__unknown"
"health_v1","nonrag","mistral","t","google__fit_api","1","88","Google Fit API","https://developers.google.com/fit","https://www.googleapis.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","401","68","-1","google","unknown","google__unknown"
"health_v1","nonrag","mistral","v","google_fit__rest","1","75","Google Fit REST API","https://developers.google.com/fit/rest","https://www.googleapis.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:22:14Z","0.435","True","False","False","0","False","True","GET","401","73","-1","google","unknown","google__unknown"
"health_v1","nonrag","mistral","v","exercise_db__api","2","60","Exercise Database API","https://zylalabs.com/api-marketplace/health+&+fitness/exercise+database+api/392","https://exercisedb.p.rapidapi.com","0.25","False","0.6","False","True","False","False","2025-10-28T22:22:13Z","0.345","True","False","False","0","False","True","GET","429","51","-1","rapidapi","unknown","rapidapi__unknown"
