"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","error_handling_verified","ifs","fca","support_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","code_samples_verified","constraints_verified","integration_support_verified","required_keys_verified","ssi","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"sentiment_v1","nonrag","claude","v","text-processing","1","98.5","Text-Processing.com Sentiment Analysis API","https://text-processing.com/docs/sentiment.html","https://text-processing.com/api","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","405","74","153"
"sentiment_v1","nonrag","claude","v","azure-text-analytics","2","96.8","Azure Cognitive Services - Text Analytics Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/quickstart","https://<resource-name>.cognitiveservices.azure.com/language","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","v","google-nlp","3","95.2","Google Cloud Natural Language API - Sentiment Analysis","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com/v2","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","224","0"
"sentiment_v1","nonrag","claude","v","meaningcloud-sentiment","4","93.7","MeaningCloud Sentiment Analysis API","https://www.meaningcloud.com/developer/sentiment-analysis","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","claude","v","ibm-watson-nlu","5","91.4","IBM Watson Natural Language Understanding - Sentiment","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com/instances/<instance-id>/v1","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","91","164"
"sentiment_v1","nonrag","claude","v","paralleldots-sentiment","6","88.9","ParallelDots (Komprehend) Sentiment Analysis API","https://www.paralleldots.com/text-analysis-apis","https://apis.paralleldots.com/v4","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","70","-1"
"sentiment_v1","nonrag","claude","v","aylien-sentiment","7","86.3","Aylien Text Analysis API - Sentiment","https://aylien-text.p.rapidapi.com","https://aylien-text.p.rapidapi.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","429","29","-1"
"sentiment_v1","nonrag","claude","v","huggingface-inference","8","83.5","Hugging Face Inference API - Sentiment Models","https://huggingface.co/inference-api","https://api-inference.huggingface.co/models","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","117","22381"
"sentiment_v1","nonrag","claude","v","tabularis-multilingual","9","79.8","Tabularis.ai Multilingual Sentiment API","https://huggingface.co/tabularisai/multilingual-sentiment-analysis","https://api.tabularis.ai","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","405","84","31"
"sentiment_v1","nonrag","claude","v","twinword-sentiment","10","76.2","Twinword Sentiment Analysis API","https://rapidapi.com/twinword/api/sentiment-analysis","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","429","26","-1"
"sentiment_v1","nonrag","deepseek","v","azure-text-analytics","1","100","Azure Text Analytics","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/overview","https://{endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","deepseek","v","aws-comprehend","2","99.5","Amazon Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.{region}.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","ERR","1",
"sentiment_v1","nonrag","deepseek","v","google-cloud-natural-language","3","99","Google Cloud Natural Language","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:33Z","0.345","True","False","False","False","True","0","GET","404","61","0"
"sentiment_v1","nonrag","deepseek","v","monkeylearn-sentiment","4","98.5","MonkeyLearn Sentiment Analysis","https://monkeylearn.com/api/v3/#sentiment-analysis","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"sentiment_v1","nonrag","deepseek","v","meaningcloud-sentiment","5","98","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis/doc","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","deepseek","v","paralleldots-sentiment","6","97.5","ParallelDots Sentiment Analysis","https://www.paralleldots.com/docs/sentiment-analysis","https://apis.paralleldots.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","68","-1"
"sentiment_v1","nonrag","deepseek","v","textrazor-sentiment","7","97","TextRazor Sentiment Analysis","https://www.textrazor.com/docs/rest#Sentiment","https://api.textrazor.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","400","90","128"
"sentiment_v1","nonrag","deepseek","v","aylien-sentiment","8","96.5","AYLIEN Text Analysis","https://docs.aylien.com/textapi/endpoints/#sentiment-analysis","https://api.aylien.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:32Z","0.435","True","False","False","False","True","0","GET","401","70","288"
"sentiment_v1","nonrag","deepseek","v","dandelion-sentiment","9","96","Dandelion Sentiment Analysis","https://dandelion.eu/docs/api/datatxt/sentiment/","https://api.dandelion.eu","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:33Z","0.435","True","False","False","False","True","0","GET","403","744","118"
"sentiment_v1","nonrag","deepseek","v","twinword-sentiment","10","95.5","Twinword Sentiment Analysis","https://www.twinword.com/api/sentiment-analysis.php","https://api.twinword.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","302","613","-1"
"sentiment_v1","nonrag","gemini","v","hf_inference_api","1","100","Hugging Face Inference API","https://huggingface.co/docs/api-inference/detailed_parameters#text-classification-task","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","131","22381"
"sentiment_v1","nonrag","gemini","v","nlp_cloud","2","95","NLP Cloud","https://nlpcloud.com/nlp-sentiment-analysis-api.html","https://api.nlpcloud.io","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","GET","404","102","19"
"sentiment_v1","nonrag","gemini","v","twinword_api","3","90","Twinword Sentiment Analysis API","https://www.twinword.com/api/sentiment-analysis.php","https://twinword-sentiment-analysis.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","429","36","-1"
"sentiment_v1","nonrag","gemini","v","cohere_classify","4","85","Cohere Classify","https://docs.cohere.com/reference/classify","https://api.cohere.ai","False","0.25","0.64","False","True","False","False","2025-10-28T23:27:33Z","0.363","True","False","False","False","False","0","GET","401","76","77"
"sentiment_v1","nonrag","gemini","v","monkeylearn","5","85","MonkeyLearn Classifiers","https://monkeylearn.com/api/v3/#classify","https://api.monkeylearn.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","0",
"sentiment_v1","nonrag","gemini","v","meaningcloud_api","6","80","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis/api-2.1/doc","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","gemini","v","aws_comprehend","7","70","Amazon Comprehend","https://docs.aws.amazon.com/comprehend/latest/APIReference/API_DetectSentiment.html","https://comprehend.{REGION}.amazonaws.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:31Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","gemini","v","azure_text_analytics","8","70","Azure AI Language (Sentiment)","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/quickstart","https://{RESOURCE_NAME}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","False","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","gemini","v","text_processing_api","9","60","Text-Processing (RapidAPI)","https://text-processing.com/docs/sentiment.html","https://text-processing.p.rapidapi.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","429","30","-1"
"sentiment_v1","nonrag","gemini","v","google_nlp_api","10","50","Google Cloud Natural Language API","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","62","0"
"sentiment_v1","nonrag","gpt","v","aws__comprehend_sentiment","1","100","Amazon Comprehend â€” DetectSentiment","https://docs.aws.amazon.com/comprehend/latest/APIReference/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:32Z","0.345","True","False","False","False","True","0","GET","404","112","29"
"sentiment_v1","nonrag","gpt","v","azure__language_sentiment","2","98.5","Azure AI Language â€” Sentiment Analysis","https://learn.microsoft.com/en-us/azure/ai-services/language-service/sentiment-opinion-mining/how-to/call-api","https://{your-endpoint}.cognitiveservices.azure.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","gpt","v","ibm__watson_nlu_sentiment","3","97.2","IBM Watson Natural Language Understanding â€” Sentiment","https://cloud.ibm.com/apidocs/natural-language-understanding","https://api.us-south.natural-language-understanding.watson.cloud.ibm.com","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","83","164"
"sentiment_v1","nonrag","gpt","v","hf__inference_sentiment","4","95.6","Hugging Face Inference API â€” sentiment-analysis","https://huggingface.co/docs/hub/api-inference","https://api-inference.huggingface.co","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:34Z","0.435","True","False","False","False","True","0","GET","401","100","22469"
"sentiment_v1","nonrag","gpt","v","deepgram__text_intelligence_sentiment","5","93.4","Deepgram Text Intelligence â€” Sentiment (Text)","https://developers.deepgram.com/docs/text-intelligence","https://api.deepgram.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:33Z","0.345","True","False","False","False","True","0","GET","405","80","0"
"sentiment_v1","nonrag","gpt","v","oracle__language_sentiment","6","91","Oracle Cloud Language â€” Analyze Text (Sentiment)","https://docs.oracle.com/en-us/iaas/language/using/sentiment-analyze-text.htm","https://language.aiservice.{region}.oraclecloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","GET","ERR","1",
"sentiment_v1","nonrag","gpt","v","meaningcloud__sentiment_v2_1","7","88.7","MeaningCloud â€” Sentiment Analysis v2.1","https://www.meaningcloud.com/developer/sentiment-analysis","https://api.meaningcloud.com","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","gpt","v","dandelion__text_sentiment","8","86.3","Dandelion â€” Text Sentiment","https://dandelion.eu/docs/api/datatxt/sentiment/","https://api.dandelion.eu","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:33Z","0.435","True","False","False","False","True","0","GET","403","723","118"
"sentiment_v1","nonrag","gpt","v","twinword__sentiment_v7","9","84.1","Twinword â€” Sentiment Analysis","https://www.twinword.com/api/sentiment-analysis.php","https://api.twinword.com","False","0.25","0.7","False","True","False","False","2025-10-28T23:27:39Z","0.39","True","False","False","False","True","0","GET","302","686","-1"
"sentiment_v1","nonrag","gpt","v","edenai__sentiment","10","81.9","Eden AI â€” Sentiment Analysis","https://docs.edenai.co/reference/text_sentiment_analysis_create","https://api.edenai.run","False","0.25","0.8","False","True","False","False","2025-10-28T23:27:33Z","0.435","True","False","False","False","True","0","GET","403","1415","38"
"sentiment_v1","nonrag","mistral","v","text-processing","1","95","Text-processing.com","https://text-processing.com/docs/sentiment.html","https://text-processing.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:38Z","0.345","True","False","False","False","True","0","GET","404","103","207"
"sentiment_v1","nonrag","mistral","v","anyapi","2","90","AnyAPI Sentiment Analysis","https://anyapi.io/marketplace/sentiment-analysis-api","Not specified","False","0.25","0","False","True","False","False","2025-10-28T23:27:31Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","mistral","v","twinword","3","85","Twinword Sentiment Analysis API","https://www.twinword.com/sentiment-analysis-api.php","https://api.twinword.com/v6/sentiment/","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:39Z","0.345","True","False","False","False","True","0","GET","302","623","-1"
"sentiment_v1","nonrag","mistral","v","google-natural-language","4","80","Google Cloud Natural Language API","https://cloud.google.com/natural-language/docs/analyzing-sentiment","https://language.googleapis.com/v2/documents:analyzeSentiment","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:34Z","0.345","True","False","False","False","True","0","GET","404","231","0"
"sentiment_v1","nonrag","mistral","v","aws-comprehend","5","75","AWS Comprehend","https://docs.aws.amazon.com/comprehend/latest/dg/API_DetectSentiment.html","https://comprehend.us-east-1.amazonaws.com","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:31Z","0.345","True","False","False","False","True","0","GET","404","98","29"
"sentiment_v1","nonrag","mistral","v","azure-text-analytics","6","70","Microsoft Azure Text Analytics","https://docs.microsoft.com/en-us/azure/cognitive-services/text-analytics/how-tos/text-analytics-how-to-sentiment-analysis","https://[your-region].api.cognitive.microsoft.com/text/analytics/v3.0","False","0.25","0","False","True","False","False","2025-10-28T23:27:32Z","0.075","True","False","False","False","True","0","GET","ERR","0",
"sentiment_v1","nonrag","mistral","v","meaningcloud","7","65","MeaningCloud Sentiment Analysis","https://www.meaningcloud.com/developer/sentiment-analysis","https://api.meaningcloud.com/sentiment-2.1","False","0.25","0","False","True","False","False","2025-10-28T23:27:35Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","mistral","v","monkeylearn","8","60","MonkeyLearn","https://monkeylearn.com/sentiment-analysis/","https://api.monkeylearn.com/v3/classifiers/[classifier-id]/classify/","False","0.25","0","False","True","False","False","2025-10-28T23:27:36Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","mistral","v","paralleldots","9","55","ParallelDots Text Analysis","https://www.paralleldots.com/text-analysis-apis/sentiment-analysis","https://api.paralleldots.com/v4/sentiment","False","0.25","0.6","False","True","False","False","2025-10-28T23:27:36Z","0.345","True","False","False","False","True","0","OPTIONS","ERR","1",
"sentiment_v1","nonrag","mistral","v","repustate","10","50","Repustate API","https://www.repustate.com/docs/","https://api.repustate.com/v2/sentiment","False","0.25","0","False","True","False","False","2025-10-28T23:27:37Z","0.075","True","False","False","False","True","0","OPTIONS","ERR","1",
